Date,Open,High,Low,Close,Volume
2014-01-02,1.76,1.79,1.72,1.74,448081
2014-01-03,1.75,1.75,1.71,1.73,123189
2014-01-06,1.74,1.78,1.73,1.74,253121
2014-01-07,1.74,1.77,1.73,1.77,151403
2014-01-08,1.77,1.78,1.76,1.76,206225
2014-01-09,1.77,1.93,1.76,1.9,1265725
2014-01-10,1.93,2.07,1.93,2.02,1634529
2014-01-13,2.05,2.13,2.04,2.11,1139568
2014-01-14,2.07,2.13,2.02,2.09,498945
2014-01-15,2.1,2.17,2.1,2.13,380824
2014-01-16,2.14,2.17,2.1,2.15,291244
2014-01-17,2.15,2.16,2.12,2.16,242586
2014-01-20,2.16,2.19,2.15,2.19,292134
2014-01-21,2.19,2.19,2.16,2.17,182884
2014-01-22,2.18,2.24,2.15,2.21,461040
2014-01-23,2.21,2.22,2.15,2.15,396503
2014-01-24,2.15,2.2,2.08,2.09,923794
2014-01-27,2.05,2.08,1.98,2.06,746476
2014-01-28,2.06,2.15,2.06,2.14,411278
2014-01-29,2.17,2.18,2.06,2.08,333257
2014-01-30,2.1,2.14,2.06,2.14,376413
2014-01-31,2.14,2.19,2.11,2.19,370357
2014-02-03,2.17,2.18,2.14,2.16,263057
2014-02-04,2.15,2.15,2.06,2.08,386536
2014-02-05,2.08,2.12,2.07,2.1,186552
2014-02-06,2.1,2.11,2.08,2.11,161415
2014-02-07,2.11,2.12,2.08,2.12,236402
2014-02-10,2.12,2.12,2.08,2.08,145559
2014-02-11,2.09,2.1,2.06,2.1,258641
2014-02-12,2.11,2.12,2.07,2.1,321572
2014-02-13,2.09,2.12,2.07,2.11,146692
2014-02-14,2.1,2.12,2.09,2.1,78670
2014-02-17,2.09,2.12,2.08,2.08,53555
2014-02-18,2.09,2.09,2.06,2.06,111442
2014-02-19,2.06,2.06,1.96,2.0,433919
2014-02-20,1.98,2.08,1.97,2.08,260789
2014-02-21,2.07,2.07,2.02,2.02,116314
2014-02-24,2.02,2.03,1.99,2.02,76777
2014-02-25,2.01,2.03,2.0,2.03,89576
2014-02-26,2.05,2.07,2.02,2.07,236178
2014-02-27,2.06,2.09,2.02,2.09,184265
2014-02-28,2.09,2.1,2.06,2.1,170959
2014-03-03,2.07,2.07,1.99,1.99,260058
2014-03-04,2.0,2.1,2.0,2.07,368295
2014-03-05,2.06,2.1,2.03,2.07,120515
2014-03-06,2.07,2.07,2.03,2.06,131506
2014-03-07,2.06,2.06,2.0,2.0,183587
2014-03-10,2.0,2.02,1.98,1.99,153293
2014-03-11,2.0,2.03,1.97,2.0,238292
2014-03-12,2.13,2.27,2.13,2.25,1715844
2014-03-13,2.24,2.27,2.2,2.23,746970
2014-03-14,2.2,2.25,2.17,2.22,457080
2014-03-17,2.2,2.25,2.17,2.24,277403
